國文,數學,英文
57,60,58
62,58,71
54,52,86
98,50,98
100,69,69
53,61,99
78,68,60
92,50,55
57,65,78
55,72,53
89,70,93
84,99,54
71,69,65
90,56,87
52,73,90
82,65,83
82,84,64
56,100,85
78,91,72
90,60,74
95,89,61
57,76,85
76,51,83
65,57,66
90,90,53
62,97,90
98,72,67
97,88,99
78,74,56
76,76,63
78,66,71
81,71,84
68,88,57
62,88,75
60,85,100
77,81,86
56,52,67
70,74,90
75,75,60
60,77,72
100,89,82
70,69,93
82,88,80
89,82,91
100,79,88
53,68,64
96,50,68
52,51,92
85,76,84
56,79,70
